1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel
b3261	Fis	fis	b1241	adhE	+	Strong
b3261	Fis	fis	b1739	osmE	-	Strong
b3261	Fis	fis	b2957	ansB	-	Weak
b3261	Fis	fis	b0050	apaG	+	Weak
b3261	Fis	fis	b0049	apaH	+	Weak
b3261	Fis	fis	b3721	bglB	-	Strong
b3261	Fis	fis	b3722	bglF	-	Strong
b3261	Fis	fis	b3723	bglG	-	Strong
b3261	Fis	fis	b0032	carA	+	Weak
b3261	Fis	fis	b0033	carB	+	Weak
b3261	Fis	fis	b3357	crp	-	Confirmed
b3261	Fis	fis	b3556	cspA	+	Confirmed
b3261	Fis	fis	b0432	cyoA	+	Weak
b3261	Fis	fis	b0431	cyoB	+	Weak
b3261	Fis	fis	b0430	cyoC	+	Weak
b3261	Fis	fis	b0429	cyoD	+	Weak
b3261	Fis	fis	b0428	cyoE	+	Weak
b3261	Fis	fis	b3368	cysG	-	Confirmed
b3261	Fis	fis	b4382	deoA	+	Weak
b3261	Fis	fis	b4383	deoB	+	Weak
b3261	Fis	fis	b4381	deoC	+	Weak
b3261	Fis	fis	b4384	deoD	+	Weak
b3261	Fis	fis	b0894	dmsA	-	Weak
b3261	Fis	fis	b0895	dmsB	-	Weak
b3261	Fis	fis	b0896	dmsC	-	Weak
b3261	Fis	fis	b3702	dnaA	-	Confirmed
b3261	Fis	fis	b3701	dnaN	-	Confirmed
b3261	Fis	fis	b3845	fadA	+	Strong
b3261	Fis	fis	b3846	fadB	+	Strong
b3261	Fis	fis	b3261	fis	-	Confirmed
b3261	Fis	fis	b4122	fumB	-	Weak
b3261	Fis	fis	b3870	glnA	+	Confirmed
b3261	Fis	fis	b3868	glnG	+	Confirmed
b3261	Fis	fis	b3869	glnL	+	Confirmed
b3261	Fis	fis	b0809	glnQ	-	Weak
b3261	Fis	fis	b2241	glpA	+	Strong
b3261	Fis	fis	b2242	glpB	+	Strong
b3261	Fis	fis	b2243	glpC	+	Strong
b3261	Fis	fis	b2239	glpQ	+	Strong
b3261	Fis	fis	b2240	glpT	+	Strong
b3261	Fis	fis	b2400	gltX	-	Confirmed
b3261	Fis	fis	b2507	guaA	-	Confirmed
b3261	Fis	fis	b2508	guaB	-	Confirmed
b3261	Fis	fis	b2231	gyrA	-	Strong
b3261	Fis	fis	b3699	gyrB	-	Strong
b3261	Fis	fis	b1237	hns	+	Strong
b3261	Fis	fis	b4000	hupA	+	Strong
b3261	Fis	fis	b0440	hupB	-	Strong
b3261	Fis	fis	b0972	hyaA	-	Weak
b3261	Fis	fis	b0973	hyaB	-	Weak
b3261	Fis	fis	b0974	hyaC	-	Weak
b3261	Fis	fis	b0975	hyaD	-	Weak
b3261	Fis	fis	b0976	hyaE	-	Weak
b3261	Fis	fis	b0977	hyaF	-	Weak
b3261	Fis	fis	b3168	infB	+	Weak
b3261	Fis	fis	b1732	katE	-	Strong
b3261	Fis	fis	b0051	rsmA	+	Weak
b3261	Fis	fis	b0116	lpd	+	Strong
b3261	Fis	fis	b4034	malE	+	Strong
b3261	Fis	fis	b4033	malF	+	Strong
b3261	Fis	fis	b4032	malG	+	Strong
b3261	Fis	fis	b2783	mazE	+	Confirmed
b3261	Fis	fis	b2781	mazG	+	Confirmed
b3261	Fis	fis	b2149	mglA	-	Weak
b3261	Fis	fis	b2148	mglC	-	Weak
b3261	Fis	fis	b3599	mtlA	-	Strong
b3261	Fis	fis	b3600	mtlD	-	Strong
b3261	Fis	fis	b3225	nanA	-	Strong
b3261	Fis	fis	b1224	narG	-	Weak
b3261	Fis	fis	b1225	narH	-	Weak
b3261	Fis	fis	b1227	narI	-	Weak
b3261	Fis	fis	b1226	narJ	-	Weak
b3261	Fis	fis	b1223	narK	-	Weak
b3261	Fis	fis	b1109	ndh	+	Confirmed
b3261	Fis	fis	b1109	ndh	-	Confirmed
b3261	Fis	fis	b3365	nirB	-	Confirmed
b3261	Fis	fis	b3367	nirC	-	Confirmed
b3261	Fis	fis	b3366	nirD	-	Confirmed
b3261	Fis	fis	b2234	nrdA	+	Confirmed
b3261	Fis	fis	b2235	nrdB	+	Confirmed
b3261	Fis	fis	b3169	nusA	+	Weak
b3261	Fis	fis	b1335	ogt	-	Strong
b3261	Fis	fis	b0052	pdxA	+	Weak
b3261	Fis	fis	b0903	pflB	-	Weak
b3261	Fis	fis	b3164	pnp	+	Weak
b3261	Fis	fis	b1101	ptsG	+	Strong
b3261	Fis	fis	b1101	ptsG	-	Strong
b3261	Fis	fis	b0945	pyrD	-	Weak
b3261	Fis	fis	b0405	queA	+	Strong
b3261	Fis	fis	b3700	recF	-	Confirmed
b3261	Fis	fis	b3231	rplM	-	Weak
b3261	Fis	fis	b3230	rpsI	-	Weak
b3261	Fis	fis	b3165	rpsO	+	Weak
b3261	Fis	fis	b1274	topA	+	Confirmed
b3261	Fis	fis	b1274	topA	-	Confirmed
b3261	Fis	fis	b1229	tpr	+	Confirmed
b3261	Fis	fis	b1421	trg	+	Weak
b3261	Fis	fis	b3965	trmA	+	Weak
b3261	Fis	fis	b3980	tufB	+	Confirmed
b3261	Fis	fis	b2912	fau	+	Strong
b3261	Fis	fis	b2912	fau	-	Strong
b3261	Fis	fis	b3166	truB	+	Weak
b3261	Fis	fis	b3167	rbfA	+	Weak
b3261	Fis	fis	b3170	rimP	+	Weak
b3261	Fis	fis	b2782	mazF	+	Confirmed
b3261	Fis	fis	b3260	dusB	-	Confirmed
b3261	Fis	fis	b4376	osmY	-	Weak
b3261	Fis	fis	b0812	dps	-	Strong
b3261	Fis	fis	b4219	msrA	-	Strong
b3261	Fis	fis	b1531	marA	+	Confirmed
b3261	Fis	fis	b1530	marR	+	Confirmed
b3261	Fis	fis	b4069	acs	-	Confirmed
b3261	Fis	fis	b1493	gadB	-	Weak
b3261	Fis	fis	b1480	sra	+	Weak
b3261	Fis	fis	b1532	marB	+	Confirmed
b3261	Fis	fis	b4111	proP	+	Confirmed
b3261	Fis	fis	b3673	emrD	+	Strong
b3261	Fis	fis	b2277	nuoM	+	Confirmed
b3261	Fis	fis	b2284	nuoF	+	Confirmed
b3261	Fis	fis	b4070	nrfA	-	Strong
b3261	Fis	fis	b2579	grcA	+	Strong
b3261	Fis	fis	b4067	actP	-	Confirmed
b3261	Fis	fis	b4068	yjcH	-	Confirmed
b3261	Fis	fis	b4071	nrfB	-	Strong
b3261	Fis	fis	b4072	nrfC	-	Strong
b3261	Fis	fis	b4073	nrfD	-	Strong
b3261	Fis	fis	b4074	nrfE	-	Strong
b3261	Fis	fis	b4075	nrfF	-	Strong
b3261	Fis	fis	b4076	nrfG	-	Strong
b3261	Fis	fis	b3601	mtlR	-	Strong
b3261	Fis	fis	b2288	nuoA	+	Confirmed
b3261	Fis	fis	b2287	nuoB	+	Confirmed
b3261	Fis	fis	b2286	nuoC	+	Confirmed
b3261	Fis	fis	b2285	nuoE	+	Confirmed
b3261	Fis	fis	b2283	nuoG	+	Confirmed
b3261	Fis	fis	b2282	nuoH	+	Confirmed
b3261	Fis	fis	b2281	nuoI	+	Confirmed
b3261	Fis	fis	b2280	nuoJ	+	Confirmed
b3261	Fis	fis	b2279	nuoK	+	Confirmed
b3261	Fis	fis	b2278	nuoL	+	Confirmed
b3261	Fis	fis	b2276	nuoN	+	Confirmed
b3261	Fis	fis	b1000	cbpA	-	Confirmed
b3261	Fis	fis	b0999	cbpM	-	Confirmed
b3261	Fis	fis	b3516	gadX	-	Weak
b3261	Fis	fis	b3567	xylG	-	Weak
b3261	Fis	fis	b3568	xylH	-	Weak
b3261	Fis	fis	b3588	aldB	-	Confirmed
b3261	Fis	fis	b0118	acnB	-	Strong
b3261	Fis	fis	b2236	yfaE	+	Confirmed
b3261	Fis	fis	b3566	xylF	-	Weak
b3261	Fis	fis	b3569	xylR	-	Weak
b3261	Fis	fis	b3853	alaT	+	Strong
b3261	Fis	fis	b3276	alaU	+	Strong
b3261	Fis	fis	b0203	alaV	+	Strong
b3261	Fis	fis	b2397	alaW	+	Weak
b3261	Fis	fis	b2396	alaX	+	Weak
b3261	Fis	fis	b0536	argU	+	Weak
b3261	Fis	fis	b2348	argW	+	Weak
b3261	Fis	fis	b3796	argX	+	Weak
b3261	Fis	fis	b0216	aspV	+	Weak
b3261	Fis	fis	b0670	glnU	+	Weak
b3261	Fis	fis	b0665	glnV	+	Weak
b3261	Fis	fis	b0668	glnW	+	Weak
b3261	Fis	fis	b0664	glnX	+	Weak
b3261	Fis	fis	b3969	gltT	+	Strong
b3261	Fis	fis	b3757	gltU	+	Strong
b3261	Fis	fis	b4008	gltV	+	Strong
b3261	Fis	fis	b2590	gltW	+	Strong
b3261	Fis	fis	b3978	glyT	+	Confirmed
b3261	Fis	fis	b2864	glyU	+	Weak
b3261	Fis	fis	b3797	hisR	+	Weak
b3261	Fis	fis	b3852	ileT	+	Strong
b3261	Fis	fis	b3277	ileU	+	Strong
b3261	Fis	fis	b0202	ileV	+	Strong
b3261	Fis	fis	b4369	leuP	+	Strong
b3261	Fis	fis	b4370	leuQ	+	Strong
b3261	Fis	fis	b3798	leuT	+	Weak
b3261	Fis	fis	b4368	leuV	+	Strong
b3261	Fis	fis	b0672	leuW	+	Weak
