GO	GeneName	GeneID
GO:0000018	mutL	b4170
GO:0000018	rdgC	b0393
GO:0000018	mutS	b2733
GO:0000018	mutH	b2831
GO:0000027	obgE	b3183
GO:0000027	rplT	b1716
GO:0000027	rplS	b2606
GO:0000027	rlmE	b3179
GO:0000027	rplY	b2185
GO:0000027	yhbY	b3180
GO:0000027	rplA	b3984
GO:0000027	srmB	b2576
GO:0000027	rplX	b3309
GO:0000027	rplK	b3983
GO:0000027	rplF	b3305
GO:0000027	rpmD	b3302
GO:0000027	rplQ	b3294
GO:0000027	deaD	b3162
GO:0000027	rhlB	b3780
GO:0000027	dbpA	b1343
GO:0000027	rplB	b3317
GO:0000027	rplC	b3320
GO:0000027	rpmA	b3185
GO:0000027	rplE	b3308
GO:0000027	rluD	b2594
GO:0000027	rpmB	b3637
GO:0000027	der	b2511
GO:0000027	rhlE	b0797
GO:0000027	rplW	b3318
GO:0000027	rpmG	b3636
GO:0000027	rpmF	b1089
GO:0000027	rplP	b3313
GO:0000027	rpmC	b3312
GO:0000027	bipA	b3871
GO:0000027	crfC	b4109
GO:0000028	rpsT	b0023
GO:0000028	rpsS	b3316
GO:0000028	rpsG	b3341
GO:0000028	rpsB	b0169
GO:0000028	rpsD	b3296
GO:0000028	rpsN	b3307
GO:0000028	rsmA	b0051
GO:0000028	rpsC	b3314
GO:0000028	rpsH	b3306
GO:0000028	rpsE	b3303
GO:0000028	rimP	b3170
GO:0000028	rimM	b2608
GO:0000028	era	b2566
GO:0000028	rpsU	b3065
GO:0000028	rpsO	b3165
GO:0000028	rpsP	b2609
GO:0000028	rpsQ	b3311
GO:0000028	rsgA	b4161
GO:0000028	rpsA	b0911
GO:0000028	yhbY	b3180
GO:0000101	yijE	b3943
GO:0000101	tcyP	b1729
GO:0000103	cysJ	b2764
GO:0000103	cysZ	b2413
GO:0000103	cysI	b2763
GO:0000103	cysN	b2751
GO:0000103	cysQ	b4214
GO:0000103	cysC	b2750
GO:0000103	cysD	b2752
GO:0000105	hisF	b2025
GO:0000105	hisA	b2024
GO:0000105	hisH	b2023
GO:0000105	hisG	b2019
GO:0000105	hisB	b2022
GO:0000105	hisD	b2020
GO:0000105	hisL	b2018
GO:0000105	folD	b0529
GO:0000105	hisC	b2021
GO:0000105	hisI	b2026
GO:0000154	rsmA	b0051
GO:0000154	rlhA	b1435
GO:0000160	cheY	b1882
GO:0000160	zraR	b4004
GO:0000160	creB	b4398
GO:0000160	torR	b0995
GO:0000160	rcsD	b2216
GO:0000160	kdpD	b0695
GO:0000160	phoR	b0400
GO:0000160	narL	b1221
GO:0000160	arcB	b3210
GO:0000160	rtcR	b3422
GO:0000160	kdpE	b0694
GO:0000160	ypdB	b2381
GO:0000160	phoB	b0399
GO:0000160	cpxR	b3912
GO:0000160	zraS	b4003
GO:0000160	cpxA	b3911
GO:0000160	narX	b1222
GO:0000160	dcuS	b4125
GO:0000160	barA	b2786
GO:0000160	envZ	b3404
GO:0000160	fhlA	b2731
GO:0000160	torS	b0993
GO:0000160	ybfI	b4636
GO:0000160	hprR	b1969
GO:0000160	ypdA	b2380
GO:0000160	cusS	b0570
GO:0000160	rstB	b1609
GO:0000160	fimZ	b0535
GO:0000160	rssB	b1235
GO:0000160	uhpA	b3669
GO:0000160	creC	b4399
GO:0000160	hprS	b1968
GO:0000160	uvrY	b1914
GO:0000160	hyfR	b2491
GO:0000160	dpiB	b0619
GO:0000160	dpiA	b0620
GO:0000160	glnG	b3868
GO:0000160	glnL	b3869
GO:0000160	glrK	b2556
GO:0000160	phoQ	b1129
GO:0000160	norR	b2709
GO:0000160	narQ	b2469
GO:0000160	atoS	b2219
GO:0000160	atoC	b2220
GO:0000160	cheA	b1888
GO:0000160	evgA	b2369
GO:0000160	cusR	b0571
GO:0000160	dcuR	b4124
GO:0000160	btsS	b2126
GO:0000160	cadC	b4133
GO:0000160	qseC	b3026
GO:0000160	glrR	b2554
GO:0000160	pspF	b1303
GO:0000160	ygeH	b2852
GO:0000160	rstA	b1608
GO:0000160	qseB	b3025
GO:0000160	yqeI	b2847
GO:0000160	narP	b2193
GO:0000160	evgS	b2370
GO:0000160	baeS	b2078
GO:0000160	basS	b4112
GO:0000160	basR	b4113
GO:0000160	uhpB	b3668
GO:0000160	uhpC	b3667
GO:0000160	arcA	b4401
GO:0000160	cheB	b1883
GO:0000160	ompR	b3405
GO:0000160	prpR	b0330
GO:0000160	rcsC	b2218
GO:0000160	rcsB	b2217
GO:0000160	baeR	b2079
GO:0000160	phoP	b1130
GO:0000160	btsR	b2125
GO:0000162	pabB	b1812
GO:0000162	trpA	b1260
GO:0000162	trpGD	b1263
GO:0000162	trpE	b1264
GO:0000162	trpB	b1261
GO:0000162	ybiB	b0800
GO:0000162	trpC	b1262
GO:0000162	hisA	b2024
GO:0000162	trpL	b1265
GO:0000162	pabA	b3360
GO:0000256	allA	b0505
GO:0000256	allB	b0512
GO:0000256	allC	b0516
GO:0000256	allD	b0517
GO:0000270	dacB	b3182
GO:0000270	yfiH	b2593
GO:0000270	elyC	b0920
GO:0000270	erfK	b1990
GO:0000270	dacA	b0632
GO:0000270	ycbB	b0925
GO:0000270	mltG	b1097
GO:0000270	mltD	b0211
GO:0000270	yafK	b0224
GO:0000270	dacD	b2010
GO:0000270	ybiS	b0819
GO:0000270	slt	b4392
GO:0000270	mepA	b2328
GO:0000270	pbpG	b2134
GO:0000270	ynhG	b1678
GO:0000270	emtA	b1193
GO:0000270	rlpA	b0633
GO:0000270	mepH	b1655
GO:0000270	ycfS	b1113
GO:0000270	nlpI	b3163
GO:0000270	mltC	b2963
GO:0000270	mepS	b2175
GO:0000270	mepM	b1856
GO:0000270	mltF	b2558
GO:0000271	wecC	b3787
GO:0000271	rffH	b3789
GO:0000271	wecE	b3791
GO:0000271	wzc	b2060
GO:0000271	wzb	b2061
GO:0000271	ugd	b2028
GO:0000271	wcaJ	b2047
GO:0000271	manC	b2049
GO:0000271	yfdG	b2350
GO:0000271	arnB	b2253
GO:0000271	wza	b2062
